"","index","country","organisation","unit","subgroup","date","hhsize","hhchildren","partner"
"1",1,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-25,3,1,"Ethiopia ChildFund"
"2",2,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-25,4,2,"Ethiopia ChildFund"
"3",3,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-25,5,3,"Ethiopia ChildFund"
"4",4,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-25,3,1,"Ethiopia ChildFund"
"5",6,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-25,4,2,"Ethiopia ChildFund"
"6",8,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-25,2,1,"Ethiopia ChildFund"
"7",11,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-25,3,1,"Ethiopia ChildFund"
"8",12,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-25,3,1,"Ethiopia ChildFund"
"9",14,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-25,3,1,"Ethiopia ChildFund"
"10",15,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-26,5,2,"Ethiopia ChildFund"
"11",16,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-26,4,2,"Ethiopia ChildFund"
"12",17,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-26,2,1,"Ethiopia ChildFund"
"13",18,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-26,5,3,"Ethiopia ChildFund"
"14",19,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-26,4,2,"Ethiopia ChildFund"
"15",20,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-26,4,3,"Ethiopia ChildFund"
"16",21,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-26,4,1,"Ethiopia ChildFund"
"17",22,"Ethiopia","ChildFund","Camp","Internally_displaced_HH",2022-11-26,2,1,"Ethiopia ChildFund"
"18",24,"Ethiopia","ChildFund","Camp","Internally_displaced_HH",2022-11-26,2,1,"Ethiopia ChildFund"
"19",26,"Ethiopia","ChildFund","Camp","Internally_displaced_HH",2022-11-26,4,2,"Ethiopia ChildFund"
"20",27,"Ethiopia","ChildFund","Camp","Internally_displaced_HH",2022-11-26,2,1,"Ethiopia ChildFund"
"21",30,"Ethiopia","ChildFund","Camp","Internally_displaced_HH",2022-11-26,4,2,"Ethiopia ChildFund"
"22",31,"Ethiopia","ChildFund","Camp","Internally_displaced_HH",2022-11-26,3,1,"Ethiopia ChildFund"
"23",32,"Ethiopia","ChildFund","Camp","Internally_displaced_HH",2022-11-26,4,2,"Ethiopia ChildFund"
"24",34,"Ethiopia","ChildFund","Camp","Internally_displaced_HH",2022-11-26,5,3,"Ethiopia ChildFund"
"25",35,"Ethiopia","ChildFund","Camp","Internally_displaced_HH",2022-11-26,6,3,"Ethiopia ChildFund"
"26",37,"Ethiopia","ChildFund","Camp","Internally_displaced_HH",2022-11-26,4,2,"Ethiopia ChildFund"
"27",39,"Ethiopia","ChildFund","Camp","Internally_displaced_HH",2022-11-26,7,4,"Ethiopia ChildFund"
"28",40,"Ethiopia","ChildFund","Camp","Internally_displaced_HH",2022-11-26,5,3,"Ethiopia ChildFund"
"29",41,"Ethiopia","ChildFund","Camp","Internally_displaced_HH",2022-11-26,3,1,"Ethiopia ChildFund"
"30",42,"Ethiopia","ChildFund","Camp","Internally_displaced_HH",2022-11-26,5,3,"Ethiopia ChildFund"
"31",43,"Ethiopia","ChildFund","Camp","Internally_displaced_HH",2022-11-26,4,2,"Ethiopia ChildFund"
"32",44,"Ethiopia","ChildFund","Camp","Internally_displaced_HH",2022-11-26,4,2,"Ethiopia ChildFund"
"33",45,"Ethiopia","ChildFund","Camp","Internally_displaced_HH",2022-11-26,5,3,"Ethiopia ChildFund"
"34",46,"Ethiopia","ChildFund","Camp","Internally_displaced_HH",2022-11-26,5,3,"Ethiopia ChildFund"
"35",47,"Ethiopia","ChildFund","Camp","Internally_displaced_HH",2022-11-26,2,1,"Ethiopia ChildFund"
"36",49,"Ethiopia","ChildFund","Camp","Internally_displaced_HH",2022-11-26,5,3,"Ethiopia ChildFund"
"37",50,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-27,3,1,"Ethiopia ChildFund"
"38",51,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-27,4,2,"Ethiopia ChildFund"
"39",52,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-27,3,1,"Ethiopia ChildFund"
"40",53,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-27,2,1,"Ethiopia ChildFund"
"41",54,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-27,4,2,"Ethiopia ChildFund"
"42",55,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-27,5,2,"Ethiopia ChildFund"
"43",56,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-27,3,1,"Ethiopia ChildFund"
"44",57,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-27,4,1,"Ethiopia ChildFund"
"45",58,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-27,2,1,"Ethiopia ChildFund"
"46",60,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-27,2,1,"Ethiopia ChildFund"
"47",61,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-27,1,2,"Ethiopia ChildFund"
"48",62,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-27,4,2,"Ethiopia ChildFund"
"49",63,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-27,5,2,"Ethiopia ChildFund"
"50",64,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-27,4,2,"Ethiopia ChildFund"
"51",65,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-27,1,1,"Ethiopia ChildFund"
"52",66,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-27,2,2,"Ethiopia ChildFund"
"53",68,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-27,5,2,"Ethiopia ChildFund"
"54",69,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-27,3,2,"Ethiopia ChildFund"
"55",70,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-27,3,1,"Ethiopia ChildFund"
"56",71,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-27,4,2,"Ethiopia ChildFund"
"57",73,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-27,4,1,"Ethiopia ChildFund"
"58",74,"Ethiopia","ChildFund","Camp","Internally_displaced_HH",2022-11-27,7,4,"Ethiopia ChildFund"
"59",75,"Ethiopia","ChildFund","Camp","Internally_displaced_HH",2022-11-27,2,1,"Ethiopia ChildFund"
"60",76,"Ethiopia","ChildFund","Camp","Internally_displaced_HH",2022-11-27,2,1,"Ethiopia ChildFund"
"61",79,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-27,4,2,"Ethiopia ChildFund"
"62",80,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-28,3,1,"Ethiopia ChildFund"
"63",81,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-28,3,1,"Ethiopia ChildFund"
"64",82,"Ethiopia","ChildFund","Camp","Host_community_HH",2022-11-28,3,1,"Ethiopia ChildFund"
"65",83,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-28,4,2,"Ethiopia ChildFund"
"66",84,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-28,3,1,"Ethiopia ChildFund"
"67",85,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-28,4,1,"Ethiopia ChildFund"
"68",86,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-28,3,1,"Ethiopia ChildFund"
"69",87,"Ethiopia","ChildFund","Camp","Internally_displaced_HH",2022-11-28,4,2,"Ethiopia ChildFund"
"70",89,"Ethiopia","ChildFund","Camp","Internally_displaced_HH",2022-11-28,4,2,"Ethiopia ChildFund"
"71",90,"Ethiopia","ChildFund","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-28,5,2,"Ethiopia ChildFund"
"72",91,"Ethiopia","ChildFund","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-28,5,4,"Ethiopia ChildFund"
"73",92,"Ethiopia","ChildFund","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-28,3,2,"Ethiopia ChildFund"
"74",93,"Ethiopia","ChildFund","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-28,3,1,"Ethiopia ChildFund"
"75",94,"Ethiopia","ChildFund","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-28,4,2,"Ethiopia ChildFund"
"76",95,"Ethiopia","ChildFund","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-28,3,1,"Ethiopia ChildFund"
"77",96,"Ethiopia","ChildFund","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-28,4,2,"Ethiopia ChildFund"
"78",97,"Ethiopia","ChildFund","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-28,3,1,"Ethiopia ChildFund"
"79",99,"Ethiopia","ChildFund","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-28,2,1,"Ethiopia ChildFund"
"80",100,"Ethiopia","ChildFund","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-28,3,2,"Ethiopia ChildFund"
"81",101,"Ethiopia","ChildFund","Camp","Internally_displaced_HH",2022-11-28,2,1,"Ethiopia ChildFund"
"82",102,"Ethiopia","ChildFund","Camp","Internally_displaced_HH",2022-11-28,3,1,"Ethiopia ChildFund"
"83",104,"Ethiopia","ChildFund","Camp","Internally_displaced_HH",2022-11-28,2,1,"Ethiopia ChildFund"
"84",106,"Ethiopia","ChildFund","Camp","Internally_displaced_HH",2022-11-28,2,1,"Ethiopia ChildFund"
